,city,lat,long,weather,temperature,humidity,temp_max,cloudiness,date,wind_speed
69,cape town,-33.928992,18.417396,Clouds,67.1,54,72.88,20,1669473235,31.07
70,kapaa,22.0747334,-159.3191601,Rain,68.32,81,70.12,100,1669473239,20.71
71,tuktoyaktuk,69.4440189,-133.031904,Snow,5.0,85,5.0,100,1669473243,11.5
72,qaqortoq,60.718202,-46.0385214,Clouds,31.95,76,31.95,90,1669473247,5.19
73,talesh,37.7974981,48.904184,Clouds,64.29,69,64.29,36,1669473251,3.44
74,ilulissat,69.2197127,-51.0986385,Clouds,14.29,79,14.29,75,1669473256,3.44
75,cabo san lucas,22.8938884,-109.9200604,Clear,70.32,66,70.32,0,1669473261,3.6
76,sao filipe,14.8952963,-24.4969361,Clear,78.98,64,78.98,0,1669473265,10.94
77,hermanus,-34.4175,19.2361111,Clouds,68.85,58,68.85,15,1669473270,20.11
78,yumen,40.2916528,97.0448526,Clouds,33.35,37,33.35,32,1669473274,5.26
79,castro,45.802987,10.06706,Clear,54.18,72,57.76,7,1669473278,0.81
80,mehamn,71.0389923,27.8517589,Clouds,26.55,80,28.31,22,1669473282,13.8
81,havelock,34.8785,-76.9014457,Clear,52.25,74,55.38,0,1669473285,10.36
82,paamiut,61.994618,-49.6659478,Clouds,23.02,86,23.02,19,1669473289,9.28
83,paez,2.92296655,-76.4640462290593,Clouds,68.22,67,68.22,90,1669473293,3.78
84,ribeira grande,37.8225227,-25.5194914,Clouds,64.13,99,64.13,20,1669473297,10.36
85,salvador,-12.9822499,-38.4812772,Clouds,85.73,70,85.73,75,1669473301,17.27
86,chapais,49.7829998,-74.8572812,Clouds,26.35,90,26.35,100,1669473305,11.18
87,dikson,73.5083894,80.5123816,Snow,12.69,94,12.69,100,1669473308,14.47
88,san carlos de bariloche,-41.1334421,-71.3098425,Clear,84.25,22,84.25,0,1669473313,3.44
89,redlands,34.0550328,-117.1827445,Clear,50.88,31,61.43,0,1669473317,5.75
90,mataura,-46.192734,168.8642685,Clouds,39.97,87,39.97,68,1669473321,1.68
91,rajsamand,25.0585825,73.8880816,Clear,63.93,22,63.93,0,1669473325,1.32
92,hit,33.6387394,42.8278537,Clouds,70.0,44,70.0,66,1669473329,4.99
93,jalu,29.0331149,21.5482209,Clouds,69.42,44,69.42,83,1669473333,3.44
94,prince rupert,54.3126572,-130.32549,Rain,46.42,89,47.52,100,1669473271,28.77
95,norman wells,65.282401,-126.832725,Snow,8.64,85,8.64,100,1669473340,0.0
96,taoudenni,22.6762333,-3.9805269,Clouds,87.3,12,87.3,100,1669473344,11.23
97,khash,28.2203911,61.2137052,Clear,60.22,19,60.22,5,1669473348,7.05
98,sena madureira,-9.0659556,-68.6571058,Clouds,74.5,93,74.5,100,1669473356,1.74
99,pietermaritzburg,-29.6,30.3788889,Rain,62.26,99,62.26,100,1669473360,1.48
100,camacha,32.679439,-16.8448679,Clouds,66.67,72,67.91,20,1669473365,4.61
101,sisimiut,66.9371906,-53.6664816,Clouds,16.3,90,16.3,81,1669473369,8.75
102,tasiilaq,65.6152573,-37.6378149,Clouds,34.3,60,34.3,100,1669473373,9.6
103,sahrak,34.107375,64.305199,Clear,43.38,39,43.38,0,1669473378,2.62
104,longyearbyen,78.2231558,15.6463656,Clear,16.07,86,16.07,0,1669473382,4.61
105,east london,-33.0191604,27.8998573,Clouds,67.35,72,67.35,40,1669473386,10.36
106,nanortalik,60.1400246,-45.2428523,Clouds,36.25,80,36.25,100,1669473390,7.11
107,keti bandar,24.1438796,67.4510995,Clear,78.13,51,78.13,0,1669473394,8.3
108,lerwick,60.1531357,-1.1427296,Clouds,51.82,89,51.82,100,1669473397,26.24
109,hofn,64.2532647,-15.2080441,Rain,42.03,90,42.03,100,1669473401,14.2
110,belushya guba,71.5376984,52.3427343,Clouds,32.95,97,32.95,100,1669473405,15.95
111,stephenville,32.2191836,-98.2130634,Clouds,45.73,99,46.45,100,1669473412,11.5
112,lamu,-2.2675396,40.9010641,Clouds,84.43,73,84.43,44,1669473416,10.54
113,kinsale,38.0295744,-76.580789,Clear,48.92,50,51.82,0,1669473420,0.0
114,ahipara,-35.1664105,173.1562074,Clouds,57.11,93,57.11,80,1669473423,6.67
115,montepuez,-13.1253048,39.0016963,Clouds,90.19,24,90.19,44,1669473428,11.92
116,narsaq,60.9127453,-46.0452698,Clouds,44.85,74,44.85,95,1669473432,6.13
117,bengkulu,-3.7922858,102.2623797,Rain,75.79,89,75.79,100,1669473435,4.36
118,aykhal,65.9516363,111.4917562,Clouds,-25.85,100,-25.85,83,1669473439,2.98
119,chokurdakh,70.6193824,147.902397,Clouds,-42.09,100,-42.09,95,1669473443,2.75
120,goderich,43.7430924,-81.7110949,Clouds,42.71,75,44.51,44,1669473447,13.8
121,ancud,-41.8682162,-73.8287225,Clouds,62.73,52,62.73,21,1669473451,6.38
122,bluff,-46.59882,168.3433685,Clouds,47.86,64,47.86,93,1669473455,3.94
123,beitbridge,-22.210058,29.992511,Clouds,88.11,40,88.11,54,1669473459,17.83
124,abnub,27.269181,31.151736,Clouds,73.62,37,73.62,44,1669473462,8.66
125,lagoa,37.13258125,-8.45505094811731,Clouds,65.68,74,67.48,74,1669473467,8.05
126,jaque,-9.7004572,-77.816604,Rain,55.72,59,55.72,28,1669473471,6.98
127,phuket,7.8847901,98.3891503,Clouds,84.97,99,84.97,87,1669473476,8.46
128,campos belos,-13.0349839,-46.768112,Clouds,77.27,76,77.27,100,1669473480,7.25
129,mollendo,-17.0292533,-72.0155447,Clear,72.28,73,72.28,4,1669473484,9.64
130,carnarvon,-24.8826131,113.6576486,Clear,69.17,72,69.17,0,1669473488,22.5
131,asfi,32.299424,-9.239533,Clear,73.29,58,73.29,0,1669473492,14.65
132,thompson,55.743347,-97.863464,Clouds,17.78,93,17.78,40,1669473496,6.91
133,mount isa,-20.7289898,139.4931522,Clouds,89.46,35,89.46,40,1669473500,12.66
134,vestmannaeyjar,63.42704985,-20.269317184750797,Clear,39.11,87,39.11,0,1669473503,6.91
135,ferme-neuve,46.7010748,-75.4497514,Clouds,33.44,85,33.44,96,1669473507,9.04
136,kodiak,57.79,-152.4072222,Clear,33.31,51,33.31,0,1669473511,25.32
137,dmitriyevka,43.0844362,40.9972695,Clouds,53.82,93,53.82,100,1669473515,3.31
138,mahebourg,-20.4111041,57.7060616,Clouds,77.38,69,77.38,40,1669473519,11.5
139,farmington,44.6402434,-93.1435497,Clear,40.37,59,42.98,0,1669473446,6.91
140,mar del plata,-37.9977225,-57.5482703,Clouds,67.8,84,68.92,75,1669473526,9.22
141,indramayu,-4.0517644,103.7798337,Rain,72.57,98,72.57,100,1669473530,1.28
142,kokstad,-30.5475,29.424444,Rain,54.68,95,54.68,100,1669473533,3.29
143,khatanga,71.9819205,102.4714765,Clouds,-12.84,96,-12.84,100,1669473537,16.04
144,grand river south east,-20.2907247,57.7851931,Clouds,77.5,69,77.5,40,1669473541,11.5
145,cayenne,4.9371143,-52.3258307,Clouds,87.82,66,87.82,75,1669473544,11.5
146,pisco,-13.7099813,-76.2029793,Clouds,67.89,83,67.89,100,1669473548,5.75
147,maloy,40.6747406,-94.4119171,Clouds,30.9,64,30.9,60,1669473552,9.1
148,nizhneyansk,71.440445,136.130646,Clouds,-33.97,98,-33.97,46,1669473556,7.2
149,awjilah,29.140278,21.2975,Clouds,69.62,45,69.62,95,1669473560,3.65
150,san rafael,37.9735346,-122.5310874,Clouds,48.96,79,54.27,100,1669473306,1.83
151,albany,42.6511674,-73.754968,Clouds,42.53,73,44.94,75,1669473293,12.66
152,bom jesus do itabapoana,-21.1341025,-41.680095,Clouds,79.07,70,79.07,89,1669473570,6.78
153,eldikan,60.773815,135.151596,Clouds,-49.02,100,-49.02,66,1669473574,0.31
154,lucapa,-8.4195244,20.7410918,Rain,73.24,90,73.24,99,1669473578,4.09
155,lafiagi,8.8536313,5.4188884,Clouds,97.56,17,97.56,34,1669473582,1.86
156,lebu,-37.6099644,-73.6559477,Clear,64.08,70,64.08,0,1669473586,18.48
157,uusikaupunki,60.8016507,21.4086143,Clouds,31.24,93,31.24,100,1669473589,7.96
158,zhigansk,66.76564,123.3741,Clouds,-36.54,98,-36.54,95,1669473593,7.72
159,hilo,19.7073734,-155.08158,Clouds,65.53,83,66.18,20,1669473597,5.75
160,pemberton,44.0086155,-93.7833984,Clear,36.9,69,40.53,0,1669473601,10.36
161,amderma,69.7522076,61.662267280204404,Clouds,20.19,91,20.19,95,1669473605,23.2
162,moron,18.5602014,-74.2581337,Clear,84.54,61,84.54,5,1669473609,2.06
163,ahuimanu,21.4406125,-157.8321451624266,Clouds,68.05,87,70.18,40,1669473613,4.61
164,alexandria,31.199004,29.894378,Clouds,68.41,51,68.41,84,1669473617,9.64
165,ambilobe,-13.194439,49.049956,Clouds,81.7,55,81.7,13,1669473621,5.46
166,suruc,36.9755424,38.4242178,Rain,51.3,84,51.3,99,1669473625,5.95
167,rassvet,54.8065569,20.6378089,Clouds,33.62,93,33.71,100,1669473629,0.0
168,saint george,12.0535331,-61.751805,Clouds,83.28,74,83.28,20,1669473634,20.71
169,menongue,-14.6610713,17.6820336,Rain,68.81,81,68.81,74,1669473638,3.53
170,tiznit,29.698624,-9.7312815,Clear,78.82,23,78.82,0,1669473642,7.16
171,biak,-1.1836086,136.0816321,Clouds,80.37,83,80.37,95,1669473646,3.8
172,severo-kurilsk,50.6683048,156.1154399,Clouds,35.37,86,35.37,100,1669473649,24.38
173,arlit,18.739079,7.393331,Clouds,85.71,11,85.71,50,1669473653,0.6
174,aleksinac,43.5405235,21.70884,Clouds,43.09,80,44.96,100,1669473657,6.22
175,margate,51.3878174,1.3819699,Clouds,53.17,79,55.0,100,1669473661,5.99
176,dum duma,27.5699757,95.5539549,Clear,60.06,77,60.06,0,1669473665,1.7
177,alugan,12.218753,125.4821759,Clouds,80.15,76,80.15,66,1669473669,10.54
178,lavumisa,-27.31092,31.884566,Clouds,75.13,74,75.13,100,1669473672,5.75
179,avarua,-21.2074736,-159.7708145,Clouds,73.38,83,73.38,100,1669473676,3.44
180,qaanaaq,77.4686357,-69.2222746,Clouds,-1.03,81,-1.03,99,1669473681,4.9
181,meadow lake,54.13026,-108.435059,Clouds,28.38,74,28.38,20,1669473685,14.97
182,pokhara,28.209538,83.991402,Clear,60.71,60,60.71,0,1669473688,4.07
183,mkushi,-13.6188643,29.3912336,Clouds,81.43,31,81.43,95,1669473692,5.91
184,vardo,70.3308174,30.961751972265887,Clouds,29.08,80,29.08,100,1669473696,16.11
185,chuy,-33.6937948,-53.4561114,Clear,78.53,47,78.53,0,1669473701,11.03
186,hasaki,35.7529706,140.8201321,Clouds,55.81,89,56.21,68,1669473704,9.31
187,marsa matruh,31.3528567,27.2395262,Clouds,66.4,48,66.4,40,1669473708,9.22
188,arraial do cabo,-22.9662839,-42.024427,Clouds,78.69,69,78.78,20,1669473712,12.66
189,airai,-8.92655,125.40922,Clouds,61.54,91,61.54,100,1669473716,2.35
190,berlevag,70.79904505,29.150528646532546,Clouds,24.21,74,24.21,20,1669473720,11.5
191,marawi,8.0047262,124.2854351,Clouds,68.27,97,68.27,100,1669473724,1.25
192,marfino,55.8309084,37.5914584,Clouds,20.7,92,23.09,100,1669473728,13.42
193,hailin,44.5733458,129.3815749,Clear,14.04,72,14.04,4,1669473732,4.99
194,saskylakh,71.9649533,114.0939433,Clouds,-24.5,98,-24.5,90,1669473736,5.99
195,mogadishu,2.0349312,45.3419183,Clouds,82.26,78,82.26,75,1669473740,12.66
196,cap malheureux,-19.9859951,57.619612,Clouds,77.45,64,77.47,35,1669473744,5.01
197,bethel,60.7922222,-161.7558333,Snow,21.54,86,21.54,100,1669473686,9.22
